ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Reference #;Visibility;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes)
11;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;Batteries, Numériques, Téléphonie - Objet Connecté;58530;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;1;0
12;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;Batteries, Numériques, Téléphonie - Objet Connecté;60160;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;1;0
13;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;Batteries, Numériques, Téléphonie - Objet Connecté;58530;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;1;0
14;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;Batteries, Numériques, Téléphonie - Objet Connecté;60120;;both;Ariary;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;batterie samsung, galaxy, chargeur;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;1;0
15;1;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;Accessoires, Numériques, Jeux Video - Gaming;10210;;both;Ariary;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;batterie samsung, galaxy, chargeur;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;1;0
16;1;CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);USB, Périphériques, Connectique, Câbles;12930;;both;Ariary;CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);câble, chargeur, usb, micro usb;CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);1;0
17;1;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;USB, Périphériques, Connectique, Câbles;7500;;both;Ariary;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;câble, chargeur, usb, micro usb;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;1;0
18;1;CABLE MICRO USB A USB (MODELE SAMSUNG...);USB, Périphériques, Connectique, Câbles;4120;;both;Ariary;CABLE MICRO USB A USB (MODELE SAMSUNG...);CABLE MICRO USB A USB (MODELE SAMSUNG...);câble, chargeur, usb, micro usb;CABLE MICRO USB A USB (MODELE SAMSUNG...);CABLE MICRO USB A USB (MODELE SAMSUNG...);CABLE MICRO USB A USB (MODELE SAMSUNG...);1;0
19;1;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;USB, Périphériques, Connectique, Câbles;6400;;both;Ariary;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;câble, chargeur, usb, micro usb;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;1;0
20;1;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;USB, Périphériques, Connectique, Câbles;10780;;both;Ariary;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;câble, chargeur, usb, micro usb;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;1;0
